n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,mean_auc,std_auc,rank
700,7,0.01,0.9,0.7,7,0.0,1.0,2.0,0.6753034427401708,0.003907151644965005,1
500,8,0.01,0.8,0.6,5,0.2,0.5,1.5,0.6748086792474075,0.004099839334221404,2
500,6,0.01,0.9,0.7,1,0.3,0.5,1.0,0.6747943319695464,0.004532053654571917,3
700,6,0.01,0.8,0.8,1,0.3,0.0,1.0,0.6745169222967775,0.00407009308198657,4
700,5,0.01,0.9,0.6,5,0.0,1.0,2.0,0.6744982781793752,0.005439435876576831,5
1000,5,0.01,0.8,0.9,3,0.2,1.0,3.0,0.6744454787784993,0.00489187698972539,6
700,5,0.01,0.7,0.8,3,0.0,0.0,1.0,0.674097907397477,0.004810743402866221,7
700,3,0.05,0.7,0.7,7,0.1,1.0,3.0,0.6730789535488664,0.004357496937045006,8
300,6,0.01,0.7,0.9,3,0.2,1.0,2.0,0.6729840145432093,0.004938254047934111,9
1000,4,0.01,0.9,0.7,7,0.2,1.0,3.0,0.6728340013109807,0.005472255492788798,10
500,5,0.01,0.9,0.9,3,0.1,0.1,1.5,0.6719388549762131,0.005322895182076267,11
300,3,0.05,0.7,0.8,7,0.2,0.5,1.5,0.6719106065794597,0.005432238020803851,12
500,3,0.05,0.9,0.9,1,0.3,0.1,1.5,0.6709979808076341,0.005054417476392249,13
300,3,0.05,0.9,0.6,7,0.1,1.0,3.0,0.6707705558126263,0.005812792143179855,14
300,3,0.1,0.8,0.9,5,0.3,1.0,1.0,0.6706445396853367,0.004493575135379951,15
1000,3,0.01,0.9,0.7,7,0.1,0.0,3.0,0.6698865296664357,0.0060740266163274124,16
700,4,0.05,0.9,0.8,5,0.3,0.1,1.5,0.6698759668070033,0.004204679627219948,17
300,6,0.05,0.8,0.7,1,0.2,1.0,2.0,0.6695166562112627,0.003569036126003998,18
500,5,0.05,0.6,0.7,7,0.1,0.1,3.0,0.6686727192224071,0.003805610767114177,19
700,4,0.05,0.7,0.9,3,0.1,0.1,3.0,0.6685511995713904,0.0032080247809130337,20
1000,4,0.05,0.9,0.7,3,0.1,0.1,2.0,0.667592327966926,0.004789314423301378,21
500,3,0.15,0.9,0.7,7,0.3,0.5,1.5,0.6669981721412743,0.0038649942671084396,22
1000,3,0.1,0.9,0.7,3,0.3,0.0,2.0,0.6659791809147491,0.003998042035297302,23
1000,3,0.1,0.9,0.8,5,0.2,0.5,2.0,0.6649073580919022,0.003454483810573476,24
500,4,0.1,0.8,0.8,1,0.2,0.5,2.0,0.6636389609850484,0.0032202219988682426,25
300,5,0.1,0.6,0.8,3,0.1,0.1,1.5,0.6613373465578215,0.004248777626168703,26
700,6,0.05,0.7,0.9,5,0.1,0.1,1.5,0.6546747745052758,0.004405870110043719,27
500,5,0.1,0.7,0.7,1,0.1,1.0,2.0,0.6544138090126783,0.003587309123547652,28
300,6,0.1,0.6,0.6,3,0.2,1.0,1.5,0.6542052710882265,0.0034395919296199215,29
500,4,0.15,0.6,0.9,3,0.3,1.0,1.5,0.6540714589819183,0.0050141571265973585,30
1000,4,0.1,0.8,0.6,3,0.3,0.0,2.0,0.6540054677245296,0.005445451663175949,31
700,7,0.05,0.8,0.6,5,0.3,0.5,3.0,0.6506445511440518,0.006074721519198395,32
300,8,0.05,0.6,0.8,1,0.0,0.1,1.5,0.650054523242442,0.0036776482034125276,33
300,7,0.1,0.7,0.8,7,0.2,0.0,1.0,0.6444681570912647,0.0033709990775162555,34
1000,6,0.05,0.9,0.9,1,0.1,1.0,1.0,0.6439689778250236,0.006005863498634178,35
1000,6,0.05,0.6,0.9,3,0.3,1.0,2.0,0.6433590607318644,0.0037193724517355577,36
300,6,0.15,0.8,0.9,3,0.2,0.0,3.0,0.6419425483783426,0.00511900538130174,37
700,8,0.05,0.6,0.7,5,0.0,1.0,3.0,0.6403170630014635,0.0029158326894426706,38
700,6,0.1,0.7,0.9,5,0.3,0.5,2.0,0.6328093139499175,0.005038277110425733,39
500,6,0.15,0.9,0.7,1,0.0,0.0,1.5,0.6308997750181442,0.00532997796747702,40
500,8,0.1,0.9,0.6,7,0.2,0.5,2.0,0.6294230054228637,0.0055389682254425015,41
700,7,0.1,0.7,0.6,1,0.2,1.0,3.0,0.6258966273713332,0.006703298280601008,42
300,8,0.15,0.8,0.9,5,0.0,1.0,1.5,0.6233366639812411,0.004168162608740796,43
700,6,0.15,0.9,0.8,1,0.2,1.0,3.0,0.621350844282162,0.007955069918620186,44
700,7,0.1,0.8,0.6,1,0.1,0.0,1.0,0.6192562562579516,0.006997243462015553,45
300,8,0.15,0.6,0.9,5,0.3,1.0,1.0,0.6182121410892829,0.00934189512676857,46
1000,6,0.15,0.9,0.7,3,0.3,0.5,2.0,0.6161529370804524,0.007959033645294367,47
500,8,0.15,0.8,0.7,1,0.0,0.5,1.5,0.6137091792185732,0.006261693103299884,48
700,8,0.15,0.9,0.7,3,0.1,1.0,1.0,0.6123414508252406,0.005656784542205558,49
700,8,0.1,0.6,0.8,1,0.0,0.5,1.0,0.6119455992122944,0.006302541415217048,50
